STATION_NAME                                                ELEVATION      LATITUDE       LONGITUDE      DATE           PRCP           TMAX           TMIN           
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 01 2023     0.28           57             32             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 02 2023     0.04           64             50             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 03 2023     0.20           67             50             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 04 2023     0.01           61             41             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 05 2023     0.00           62             36             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 06 2023     0.00           52             36             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 07 2023     0.00           53             29             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 08 2023     0.00           58             29             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 09 2023     0.10           64             43             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 10 2023     1.51           71             48             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 11 2023     0.00           54             29             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 12 2023     0.00           52             29             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 13 2023     0.00           57             29             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 14 2023     0.00           60             29             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 15 2023     0.00           63             38             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 16 2023     0.00           62             38             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 17 2023     0.08           63             42             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 18 2023     0.00           64             32             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 19 2023     0.00           55             28             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 20 2023     0.00           55             25             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 21 2023     0.00           58             26             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 22 2023     0.00           63             30             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 23 2023     0.00           67             37             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 24 2023     0.00           67             44             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 25 2023     1.21           69             54             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 26 2023     0.58           67             47             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 27 2023     0.00           57             36             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 28 2023     0.00           55             35             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 29 2023     0.00           49             32             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 30 2023     0.05           45             35             
BANKHEAD LOCK AND DAM AL US                                 85.3           33.45          -87.36         12 31 2023     0.00           43             27             
DEMOPOLIS LOCK AND DAM AL US                                30.5           32.52          -87.88         12 01 2023     0.11           56             33             
DEMOPOLIS LOCK AND DAM AL US                                30.5           32.52          -87.88         12 02 2023     0.05           72             49             
DEMOPOLIS LOCK AND DAM AL US                                30.5           32.52          -87.88         12 03 2023     0.07           72             62             
DEMOPOLIS LOCK AND DAM AL US                                30.5           32.52          -87.88         12 04 2023     0.00           67             48             
DEMOPOLIS LOCK AND DAM AL US                                30.5           32.52          -87.88         12 05 2023     0.00           65             39             
DEMOPOLIS LOCK AND DAM AL US                                30.5           32.52          -87.88         12 06 2023     0.00           62             35             
DEMOPOLIS LOCK AND DAM AL US                                30.5           32.52          -87.88         12 07 2023     0.00           54             31             
DEMOPOLIS LOCK AND DAM AL US                                30.5           32.52          -87.88         12 08 2023     0.00           59             30             
DEMOPOLIS LOCK AND DAM AL US                                30.5           32.52          -87.88         12 09 2023     0.00           66             40             
DEMOPOLIS LOCK AND DAM AL US                                30.5           32.52          -87.88         12 10 2023     1.10           77             57             
DEMOPOLIS LOCK AND DAM AL US                                30.5           32.52          -87.88         12 11 2023     0.00           58             32             
DEMOPOLIS LOCK AND DAM AL US                                30.5           32.52          -87.88         12 12 2023     0.00           53             29             
DEMOPOLIS LOCK AND DAM AL US                                30.5           32.52          -87.88         12 13 2023     0.00           60             30             
DEMOPOLIS LOCK AND DAM AL US                                30.5           32.52          -87.88         12 14 2023     0.00           62             33             
DEMOPOLIS LOCK AND DAM AL US                                30.5           32.52          -87.88         12 15 2023     0.00           65             40             
DEMOPOLIS LOCK AND DAM AL US                                30.5           32.52          -87.88         12 19 2023     0.00           59             34             
DEMOPOLIS LOCK AND DAM AL US                                30.5           32.52          -87.88         12 20 2023     0.00           50             31             
DEMOPOLIS LOCK AND DAM AL US                                30.5           32.52          -87.88         12 25 2023     1.70           68             41             
DEMOPOLIS LOCK AND DAM AL US                                30.5           32.52          -87.88         12 26 2023     0.00           65             50             
DEMOPOLIS LOCK AND DAM AL US                                30.5           32.52          -87.88         12 27 2023     0.00           55             34             
DEMOPOLIS LOCK AND DAM AL US                                30.5           32.52          -87.88         12 28 2023     0.00           58             33             
DEMOPOLIS LOCK AND DAM AL US                                30.5           32.52          -87.88         12 29 2023     0.00           49             34             
DEMOPOLIS LOCK AND DAM AL US                                30.5           32.52          -87.88         12 30 2023     0.00           50             31             
DEMOPOLIS LOCK AND DAM AL US                                30.5           32.52          -87.88         12 31 2023     0.00           50             30             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 01 2023     0.17           62             39             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 02 2023     1.27           62             49             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 03 2023     0.72           65             55             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 04 2023     0.00           62             43             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 05 2023     0.00           59             37             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 06 2023     0.00           58             38             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 07 2023     0.00           50             30             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 08 2023     0.00           58             30             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 09 2023     0.36           63             40             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 10 2023     1.60           69             46             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 12 2023     0.00           48             32             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 13 2023     0.00           58             33             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 14 2023     0.00           58             38             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 15 2023     0.00           61             38             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 17 2023     0.10           53             49             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 18 2023     0.00           50             39             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 19 2023     0.00           51             31             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 20 2023     0.00           43             30             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 21 2023     0.00           50             32             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 22 2023     0.00           51             33             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 23 2023     0.00           59             37             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 24 2023     0.00           66             37             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 25 2023     0.97           64             47             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 27 2023     0.00           52             36             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 28 2023     0.00           54             36             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 29 2023     0.00           47             37             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 30 2023     0.00           43             36             
GUNTERSVILLE NUMBER 2 AL US                                 181.4          34.33          -86.33         12 31 2023     0.00           42             31             
ADDISON AL US                                               239.6          34.21          -87.18         12 02 2023     2.50           63             49             
ADDISON AL US                                               239.6          34.21          -87.18         12 03 2023     0.94           66             53             
ADDISON AL US                                               239.6          34.21          -87.18         12 04 2023     0.00           67             36             
ADDISON AL US                                               239.6          34.21          -87.18         12 05 2023     0.00           61             28             
ADDISON AL US                                               239.6          34.21          -87.18         12 06 2023     0.00           60             31             
ADDISON AL US                                               239.6          34.21          -87.18         12 07 2023     0.00           52             26             
ADDISON AL US                                               239.6          34.21          -87.18         12 08 2023     0.00           57             29             
ADDISON AL US                                               239.6          34.21          -87.18         12 09 2023     0.30           61             38             
ADDISON AL US                                               239.6          34.21          -87.18         12 10 2023     0.95           70             46             
ADDISON AL US                                               239.6          34.21          -87.18         12 11 2023     0.00           51             25             
ADDISON AL US                                               239.6          34.21          -87.18         12 12 2023     0.00           50             24             
ADDISON AL US                                               239.6          34.21          -87.18         12 13 2023     0.00           58             27             
ADDISON AL US                                               239.6          34.21          -87.18         12 15 2023     0.00           63             29             
ADDISON AL US                                               239.6          34.21          -87.18         12 16 2023     0.00           62             29             
ADDISON AL US                                               239.6          34.21          -87.18         12 17 2023     0.03           59             34             
ADDISON AL US                                               239.6          34.21          -87.18         12 18 2023     0.00           52             30             
ADDISON AL US                                               239.6          34.21          -87.18         12 19 2023     0.00           55             26             
ADDISON AL US                                               239.6          34.21          -87.18         12 20 2023     0.00           46             24             
ADDISON AL US                                               239.6          34.21          -87.18         12 21 2023     0.00           54             24             
ADDISON AL US                                               239.6          34.21          -87.18         12 22 2023     0.00           53             25             
ADDISON AL US                                               239.6          34.21          -87.18         12 25 2023     0.00           63             45             
ADDISON AL US                                               239.6          34.21          -87.18         12 26 2023     0.00           53             29             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 01 2023     0.00           62             35             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 02 2023     1.12           63             47             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 03 2023     0.74           66             57             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 04 2023     0.00           57             43             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 05 2023     0.00           63             36             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 06 2023     0.00           59             36             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 07 2023     0.00           51             31             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 08 2023     0.00           59             31             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 09 2023     0.29           63             40             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 10 2023     2.38           70             47             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 11 2023     0.01           51             32             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 12 2023     0.00           50             29             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 13 2023     0.00           55             30             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 14 2023     0.00           60             36             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 15 2023     0.00           63             39             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 16 2023     0.00           60             39             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 17 2023     0.09           59             49             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 18 2023     0.02           52             40             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 19 2023     0.00           54             30             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 20 2023     0.00           47             29             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 21 2023     0.00           52             29             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 22 2023     0.00           52             31             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 23 2023     0.00           62             31             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 24 2023     0.00           67             46             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 25 2023     0.56           64             50             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 26 2023     0.73           65             49             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 27 2023     0.02           65             36             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 28 2023     0.00           56             35             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 29 2023     0.01           52             38             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 30 2023     0.00           56             37             
GUNTERSVILLE AL US                                          176.2          34.33          -86.33         12 31 2023     0.00           45             30             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 01 2023     0.22           61             36             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 02 2023     0.61           61             50             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 03 2023     0.64           63             50             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 04 2023     0.00           62             39             
MUSCLE SHOALS WATER PLANT AL US                             164.6          34.76          -87.64         12 05 2023     0.00           58             33             
